"active_from","active_to","birth_date","college","height","name","position","url","weight","NBA__3ptapg","NBA__3ptpct","NBA__3ptpg","NBA_efgpct","NBA_fg.","NBA_fg_per_game","NBA_fga_per_game","NBA_ft.","NBA_ft_per_g","NBA_fta_p_g","NBA_g_played","NBA_ppg","NCAA__3ptapg","NCAA__3ptpct","NCAA__3ptpg","NCAA_efgpct","NCAA_fgapg","NCAA_fgpct","NCAA_fgpg","NCAA_ft","NCAA_ftapg","NCAA_ftpg","NCAA_games","NCAA_ppg","height.inches","NCAA_ftpct"
2006,2009,"January 21, 1983","Pepperdine University","6-5","Alex Acker","G","/players/a/ackeral01.html",185,0.8,0.32,0.3,0.413,0.37,1.1,3.1,0.5,0.2,0.3,30,2.7,3.3,0.411,1.4,NA,11.2,0.457,5.1,0.823,3.5,2.9,88,14.5,77,0.828571428571429
2007,2009,"June 20, 1984","University of Arizona","6-4","Hassan Adams","G","/players/a/adamsha01.html",220,0,0,0,0.534,0.534,1.1,2,0.643,0.4,0.6,73,2.5,1.9,0.311,0.6,NA,11.6,0.499,5.8,0.704,2.7,1.9,130,14,76,0.703703703703704
2008,2018,"October 15, 1985","University of California, Los Angeles","6-5","Arron Afflalo","G","/players/a/afflaar01.html",210,2.9,0.386,1.1,0.514,0.449,3.9,8.7,0.825,1.8,2.2,761,10.8,5.4,0.373,2,NA,10.9,0.457,5,0.781,3.6,2.8,104,14.8,77,0.777777777777778
2007,2011,"February 9, 1984","Michigan State University","6-5","Maurice Ager","G","/players/a/agerma01.html",202,0.5,0.25,0.1,0.368,0.339,0.8,2.3,0.566,0.4,0.6,82,2.1,4.3,0.38,1.6,NA,9.6,0.441,4.2,0.775,3.2,2.5,124,12.5,77,0.78125
2008,2012,"May 27, 1984","Missouri State University","6-2","Blake Ahearn","G","/players/a/ahearbl01.html",190,2.5,0.298,0.7,0.364,0.273,1.1,4.1,0.97,1.7,1.7,19,4.6,5.2,0.408,2.1,NA,8.9,0.423,3.7,0.946,3.6,3.4,129,13,74,0.944444444444444
2009,2010,"December 26, 1986","West Virginia University","6-8","Joe Alexander","F","/players/a/alexajo01.html",230,0.7,0.34,0.2,0.442,0.41,1.5,3.7,0.698,0.9,1.3,67,4.2,2.1,0.295,0.6,NA,10,0.447,4.5,0.765,3.3,2.5,82,12.1,80,0.757575757575758
2005,2018,"January 11, 1982","Butler County Community College, Oklahoma State University","6-4","Tony Allen","G-F","/players/a/allento01.html",213,0.5,0.282,0.2,0.487,0.475,3.2,6.6,0.709,1.7,2.3,820,8.1,2.2,0.347,0.8,NA,11.5,0.477,5.5,0.682,5.2,3.5,67,15.3,76,0.673076923076923
2008,2008,"February 2, 1981","University of Utah, Weber State University","6-11","Lance Allred","C","/players/a/allrela01.html",250,0,NA,0,0.25,0.25,0.3,1.3,0.5,0.3,0.7,3,1,0.1,0.429,0.1,NA,7.1,0.481,3.4,0.718,3.9,2.8,95,9.7,83,0.717948717948718
2008,2012,"February 2, 1985","Rice University","6-6","Morris Almond","G","/players/a/almonmo01.html",225,0.6,0.292,0.2,0.412,0.381,1.1,3,0.743,0.7,0.9,38,3.1,2.9,0.435,1.3,NA,10.5,0.492,5.2,0.824,4.2,3.5,121,15.1,78,0.833333333333333
2006,2017,"October 16, 1982","Michigan State University","6-6","Alan Anderson","G-F","/players/a/anderal01.html",220,2.9,0.344,1,0.484,0.405,2.6,6.3,0.816,1.2,1.5,330,7.3,1,0.366,0.4,NA,6.1,0.503,3,0.831,3.6,3,126,9.5,78,0.833333333333333
2010,2010,"June 5, 1985","University of Memphis","6-6","Antonio Anderson","G","/players/a/anderan02.html",215,0,NA,0,0.333,0.333,1,3,NA,0,0,1,2,3,0.308,0.9,NA,6.9,0.418,2.9,0.648,2.8,1.8,150,8.5,78,0.642857142857143
2009,2018,"May 6, 1988","University of California","6-10","Ryan Anderson","F","/players/a/anderry01.html",240,5.5,0.382,2.1,0.525,0.423,4.4,10.4,0.855,1.9,2.2,622,12.8,4.7,0.396,1.8,NA,13.1,0.484,6.3,0.841,5,4.2,66,18.7,82,0.84
2004,2018,"May 29, 1984","Syracuse University","6-8","Carmelo Anthony","F","/players/a/anthoca01.html",240,3.7,0.348,1.3,0.482,0.449,8.6,19.2,0.812,5.6,6.9,1052,24.1,4.7,0.337,1.6,NA,17.5,0.453,7.9,0.706,6.8,4.8,35,22.2,80,0.705882352941177
